Time Submitted,Status,Runtime,Memory,Language
8/26/2022 11:45,Accepted,2 ms,2.1 MB,rust
8/26/2022 11:45,Accepted,2 ms,2.3 MB,rust
8/26/2022 11:45,Accepted,4 ms,2 MB,rust
8/26/2022 11:45,Accepted,2 ms,2.1 MB,rust
8/26/2022 10:54,Accepted,1 ms,2.2 MB,rust
8/26/2022 10:47,Accepted,5 ms,5.9 MB,cpp
8/26/2022 10:47,Accepted,0 ms,6.1 MB,cpp
8/26/2022 10:47,Accepted,6 ms,5.9 MB,cpp
8/26/2022 10:47,Accepted,4 ms,6 MB,cpp
8/26/2022 10:33,Accepted,66 ms,13.8 MB,python3
8/26/2022 10:04,Accepted,6 ms,2.2 MB,golang
8/26/2022 10:04,Accepted,6 ms,2.2 MB,golang
8/26/2022 10:03,Accepted,0 ms,2.3 MB,golang
8/26/2022 10:03,Accepted,6 ms,2.1 MB,golang
8/26/2022 10:03,Accepted,0 ms,2.2 MB,golang
8/26/2022 10:02,Wrong Answer,N/A,N/A,golang
8/26/2022 9:44,Accepted,5 ms,40.9 MB,java
